,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5.0,24.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24.0,30.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.0,20.0,7.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,32.0,20.0,14.0,12.0,5.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,25.0,20.0,12.0,13.0,10.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,33.0,28.0,11.0,16.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,14.0,26.0,17.0,29.0,16.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,14.0,29.0,17.0,30.0,13.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25.0,28.0,37.0,26.0,21.0,12.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33.0,46.0,44.0,35.0,21.0,24.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,31.0,45.0,59.0,40.0,31.0,35.0,21.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,35.0,36.0,58.0,59.0,64.0,49.0,34.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,40.0,61.0,69.0,86.0,101.0,73.0,21.0,17.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,34.0,57.0,81.0,81.0,86.0,84.0,41.0,18.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,42.0,85.0,132.0,124.0,122.0,96.0,56.0,23.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33.0,136.0,166.0,190.0,189.0,134.0,88.0,46.0,21.0,10.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,51.0,170.0,267.0,260.0,280.0,221.0,162.0,87.0,38.0,35.0,16.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,59.0,249.0,393.0,380.0,385.0,335.0,210.0,156.0,94.0,41.0,27.0,23.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
29,118.0,283.0,485.0,655.0,637.0,587.0,403.0,228.0,176.0,95.0,58.0,40.0,15.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0
30,147.0,407.0,603.0,882.0,930.0,857.0,654.0,450.0,333.0,196.0,145.0,88.0,37.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
31,156.0,452.0,793.0,1211.0,1365.0,1276.0,1011.0,720.0,557.0,374.0,265.0,163.0,77.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0
32,180.0,593.0,1078.0,1542.0,1777.0,1802.0,1476.0,1156.0,895.0,651.0,526.0,313.0,138.0,34.0,15.0,3.0,0.0,0.0,0.0,0.0
33,218.0,751.0,1435.0,2030.0,2640.0,2561.0,2482.0,2068.0,1576.0,1179.0,779.0,446.0,200.0,65.0,27.0,2.0,1.0,0.0,0.0,0.0
34,309.0,873.0,1807.0,2668.0,3502.0,3672.0,3678.0,3083.0,2472.0,1791.0,1144.0,691.0,289.0,95.0,29.0,12.0,2.0,3.0,1.0,0.0
35,433.0,1137.0,2320.0,3583.0,4936.0,5544.0,5436.0,4601.0,3824.0,2789.0,1676.0,976.0,446.0,167.0,67.0,14.0,3.0,3.0,2.0,0.0
36,432.0,1300.0,2765.0,4436.0,6131.0,7678.0,7511.0,6662.0,5296.0,3887.0,2392.0,1423.0,673.0,245.0,68.0,27.0,19.0,8.0,7.0,2.0
37,503.0,1686.0,3593.0,5461.0,8171.0,9742.0,9992.0,8865.0,6822.0,5089.0,3495.0,2037.0,948.0,366.0,130.0,36.0,11.0,7.0,0.0,0.0
38,793.0,2125.0,4404.0,6722.0,10334.0,12959.0,12758.0,11144.0,8703.0,6301.0,3833.0,2254.0,1099.0,433.0,183.0,39.0,15.0,4.0,1.0,0.0
39,1171.0,3040.0,5586.0,8695.0,12917.0,15368.0,15051.0,12760.0,9730.0,6803.0,4190.0,2286.0,1060.0,433.0,181.0,70.0,20.0,7.0,2.0,0.0
40,712.0,2145.0,4360.0,7577.0,13150.0,16151.0,14883.0,12172.0,8694.0,6071.0,3746.0,2078.0,927.0,333.0,159.0,58.0,17.0,3.0,4.0,1.0
41,488.0,1718.0,3752.0,6986.0,13992.0,16806.0,14964.0,11450.0,7636.0,4901.0,2839.0,1604.0,738.0,259.0,104.0,30.0,8.0,4.0,0.0,0.0
42,442.0,1313.0,2958.0,6213.0,13746.0,17114.0,14442.0,10645.0,6583.0,3841.0,2066.0,1079.0,444.0,173.0,73.0,21.0,4.0,3.0,2.0,0.0
43,422.0,1033.0,2067.0,4940.0,11773.0,14966.0,12740.0,8895.0,5183.0,2924.0,1463.0,732.0,291.0,103.0,42.0,9.0,7.0,2.0,1.0,0.0
44,336.0,781.0,1539.0,3878.0,9108.0,11481.0,10024.0,6761.0,3968.0,1979.0,1029.0,458.0,187.0,53.0,23.0,5.0,0.0,0.0,0.0,0.0
45,332.0,647.0,1257.0,2703.0,5606.0,7307.0,6512.0,4519.0,2478.0,1437.0,726.0,235.0,65.0,22.0,16.0,4.0,0.0,0.0,0.0,0.0
46,221.0,487.0,999.0,1818.0,3440.0,3982.0,3682.0,2476.0,1504.0,799.0,367.0,76.0,34.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0
47,121.0,342.0,631.0,1163.0,1845.0,2116.0,1825.0,1251.0,777.0,487.0,183.0,52.0,34.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
48,97.0,259.0,396.0,633.0,964.0,1129.0,974.0,675.0,424.0,200.0,91.0,32.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
49,79.0,192.0,251.0,315.0,517.0,612.0,411.0,282.0,155.0,83.0,30.0,12.0,15.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
50,63.0,139.0,153.0,200.0,278.0,249.0,218.0,117.0,64.0,37.0,14.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
51,38.0,68.0,118.0,101.0,105.0,117.0,116.0,59.0,44.0,24.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,32.0,31.0,55.0,60.0,52.0,47.0,35.0,37.0,10.0,3.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,24.0,22.0,33.0,50.0,21.0,30.0,13.0,8.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,22.0,30.0,17.0,32.0,13.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,20.0,37.0,11.0,14.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,27.0,17.0,6.0,8.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,23.0,7.0,1.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,17.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
